example,method,param,value
19,joint_seq_init,uncMeta,3.931520822
19,joint_seq_init,confCritR,0.3529259678
19,joint_seq_init,confCritL,0.2933860938
19,joint_seq_init,nll,15.50066275
20,truth,guessRate,0
20,truth,alpha_gain,0.5832831461
20,truth,beta_gain,0.3108413309
20,truth,gamma_gain,0.8644941213
20,truth,uncMeta,0.4102994664
20,truth,confCritR,0.6665436116
20,truth,confCritL,1.741672747
20,truth,nll,78.0164717
20,sequential,guessRate,0.01
20,sequential,alpha_gain,0.5782375182
20,sequential,beta_gain,0.3779383328
20,sequential,gamma_gain,0.9854730119
20,sequential,uncMeta,0.207123033
20,sequential,confCritR,0.4999939259
20,sequential,confCritL,1.423022635
20,sequential,nll,74.28249149
20,joint,guessRate,0.01
20,joint,alpha_gain,0.6001209968
20,joint,beta_gain,0.5790816907
20,joint,gamma_gain,1.097191614
20,joint,uncMeta,0.2327875947
20,joint,confCritR,0.2852050203
20,joint,confCritL,1.913137483
20,joint,nll,75.01725407
20,joint_seq_init,guessRate,0.01
20,joint_seq_init,alpha_gain,0.5905333999
20,joint_seq_init,beta_gain,0.3832797663
20,joint_seq_init,gamma_gain,1.062904765
20,joint_seq_init,uncMeta,0.3589901891
20,joint_seq_init,confCritR,0.5012239968
20,joint_seq_init,confCritL,1.812204556
20,joint_seq_init,nll,74.01258152
21,truth,guessRate,0
21,truth,alpha_gain,0.446351159
21,truth,beta_gain,0.05936193028
21,truth,gamma_gain,1.307891805
21,truth,uncMeta,0.2277457953
21,truth,confCritR,1.516735567
21,truth,confCritL,0.3752456208
21,truth,nll,56.35701116
21,sequential,guessRate,0.01
21,sequential,alpha_gain,0.4557418698
21,sequential,beta_gain,0.2895890554
21,sequential,gamma_gain,1.20097379
21,sequential,uncMeta,0.3086537471
21,sequential,confCritR,2.044948112
21,sequential,confCritL,0.1629145031
21,sequential,nll,54.41264873
21,joint,guessRate,0.01
21,joint,alpha_gain,0.4751083067
21,joint,beta_gain,0.4552420107
21,joint,gamma_gain,1.223491906
21,joint,uncMeta,0.3877017568
21,joint,confCritR,1.682682035
21,joint,confCritL,0.2186160409
21,joint,nll,54.26137322
21,joint_seq_init,guessRate,0.01
21,joint_seq_init,alpha_gain,0.474986396
21,joint_seq_init,beta_gain,0.2903926472
21,joint_seq_init,gamma_gain,1.257412563
21,joint_seq_init,uncMeta,0.5086742175
21,joint_seq_init,confCritR,2.649932689
21,joint_seq_init,confCritL,0.2093805718
21,joint_seq_init,nll,54.69680594
22,truth,guessRate,0
22,truth,alpha_gain,0.7317306197
22,truth,beta_gain,0.6256626339
22,truth,gamma_gain,1.854417106
22,truth,uncMeta,0.3950329885
22,truth,confCritR,3.262580916
22,truth,confCritL,2.78924241
22,truth,nll,42.43056026
22,sequential,guessRate,0.01
22,sequential,alpha_gain,0.6699796829
22,sequential,beta_gain,0.6308959593
22,sequential,gamma_gain,2.264445301
22,sequential,uncMeta,0.3862294903
22,sequential,confCritR,2.832371603
22,sequential,confCritL,3.246476957
22,sequential,nll,43.27091402
22,joint,guessRate,0.01
22,joint,alpha_gain,0.7114911653
22,joint,beta_gain,0.6664622085
22,joint,gamma_gain,1.508190528
22,joint,uncMeta,0.5436023177
22,joint,confCritR,1.545123636
22,joint,confCritL,2.259737201
22,joint,nll,44.15873338
22,joint_seq_init,guessRate,0.01
22,joint_seq_init,alpha_gain,0.7100184996
22,joint_seq_init,beta_gain,0.631506255
22,joint_seq_init,gamma_gain,2.338597892
22,joint_seq_init,uncMeta,0.8224808552
22,joint_seq_init,confCritR,2.886540535
22,joint_seq_init,confCritL,4.115841354
22,joint_seq_init,nll,43.51012568
23,truth,guessRate,0
23,truth,alpha_gain,0.5610151696
23,truth,beta_gain,0.4302964851
23,truth,gamma_gain,2.806927897
23,truth,uncMeta,0.6940930506
23,truth,confCritR,0.9101576849
23,truth,confCritL,1.355496588
23,truth,nll,39.38266894
23,sequential,guessRate,0.01
23,sequential,alpha_gain,0.595014516
23,sequential,beta_gain,0.5357270017
23,sequential,gamma_gain,2.549023618
23,sequential,uncMeta,1.064452583
23,sequential,confCritR,0.8402578991
23,sequential,confCritL,1.3109299
23,sequential,nll,38.29266528
23,joint,guessRate,0.01
23,joint,alpha_gain,0.5819684933
23,joint,beta_gain,0.4739722931
23,joint,gamma_gain,2.171192509
23,joint,uncMeta,0.9424019718
